temperature_c,condition,dims,sites,replicas,sqrt_time_min_half,time_s,ar40_fraction_n,ar40_fraction_mean,ar40_fraction_ci95_low,ar40_fraction_ci95_high,ar40_da2_per_s_n,ar40_da2_per_s_mean,ar40_da2_per_s_ci95_low,ar40_da2_per_s_ci95_high,ar36_fraction_n,ar36_fraction_mean,ar36_fraction_ci95_low,ar36_fraction_ci95_high,ar36_da2_per_s_n,ar36_da2_per_s_mean,ar36_da2_per_s_ci95_low,ar36_da2_per_s_ci95_high,ar36_ar40_da2_ratio_n,ar36_ar40_da2_ratio_mean,ar36_ar40_da2_ratio_ci95_low,ar36_ar40_da2_ratio_ci95_high,xe_fraction_n,xe_fraction_mean,xe_fraction_ci95_low,xe_fraction_ci95_high,xe_da2_per_s_n,xe_da2_per_s_mean,xe_da2_per_s_ci95_low,xe_da2_per_s_ci95_high
500,vacuum,8x8x6,3072,8,6,2160.0,8,0.16347552855264477,0.1243761182785573,0.20635562554859543,8,4.798321331069679e-06,2.5339893702119785e-06,7.3009787336128215e-06,8,0.14895833333333333,0.07118055555555555,0.23506944444444444,8,1.4565413796950136e-06,0.0,3.522432020312824e-06,2,4.037492769893797,2.4016471624072517,5.673338377380341,8,0.2050640847000407,0.1651521852760243,0.25740595611285266,8,7.102875088587309e-06,3.6179949534808997e-06,1.1568011792806691e-05
500,vacuum,8x8x6,3072,8,8,3840.0,8,0.25399641250699356,0.20557465669194508,0.3070220830586684,8,5.487395252569243e-06,2.948423982155782e-06,8.256025382119018e-06,8,0.19409722222222223,0.10729166666666667,0.2875,8,2.225514819564172e-06,1.887757957399507e-07,5.132854995902404e-06,3,3.6620487814656966,0.25829550141940605,6.065043858916112,8,0.28764518016412965,0.24540596142763324,0.3422817716428264,8,5.873369771222112e-06,3.9580565995024295e-06,8.331911630535054e-06
500,vacuum,8x8x6,3072,8,10,6000.0,8,0.2783226029370219,0.22689459930313588,0.33458863275039746,8,1.5135942290167288e-06,8.61689486078249e-07,2.1830830507169596e-06,8,0.2677083333333333,0.140625,0.39965277777777775,8,6.956982885340079e-06,1.3223340390686822e-06,1.4723905144042767e-05,2,8.940794978248043,6.68585804263742,11.195731913858666,8,0.3273536794688177,0.2830597550024795,0.392696180105436,8,3.053327490936225e-06,1.243302373456768e-06,5.384389474559996e-06
500,vacuum,8x8x6,3072,8,15,13500.0,8,0.3283485735637816,0.27538525498891353,0.3897793192305387,8,1.0474469681298241e-06,5.513223228932882e-07,1.6745637515274077e-06,8,0.2815972222222222,0.15104166666666666,0.4239583333333333,8,3.783569844497121e-07,0.0,1.1350709533491363e-06,1,5.806593363480386,5.806593363480386,5.806593363480386,8,0.38068078411037737,0.3390454457645127,0.4369047619047619,8,1.2024687602645797e-06,5.766286440918197e-07,2.0052690854624835e-06
500,vacuum,8x8x6,3072,8,20,24000.0,8,0.3313973540515865,0.2833536585365854,0.38799289866363035,8,3.083309009356273e-08,0.0,9.249927028068818e-08,8,0.30243055555555554,0.15625,0.46249999999999997,8,7.686079357169152e-07,0.0,2.3058238071507453e-06,0,,,,8,0.38694644827077834,0.3413563701342606,0.4416148128943047,8,1.3496334990372884e-07,0.0,2.9738764841657984e-07
500,vacuum,8x8x6,3072,8,30,54000.0,8,0.34566542200867884,0.29569763271162125,0.40748211446740856,8,9.430592291232593e-08,2.7633193611724017e-08,1.7313212767881274e-07,8,0.3284722222222222,0.18055555555555555,0.47916666666666663,8,9.231953523172171e-08,0.0,2.230171473045331e-07,2,2.6093865202390973,1.2072732289520796,4.011499811526115,8,0.38694644827077834,0.34202163624070314,0.4398109243697479,8,0.0,0.0,0.0
500,vacuum,8x8x6,3072,8,40,96000.0,8,0.35218280168782323,0.3023868527455328,0.4135813058069156,8,2.5234242880875186e-08,0.0,6.2527074220084e-08,8,0.3423611111111111,0.18402777777777776,0.49166666666666664,8,4.380026147289748e-08,0.0,1.3140078441869242e-07,0,,,,8,0.38694644827077834,0.3408661740558292,0.4420983366123219,8,0.0,0.0,0.0
500,vacuum,8x8x6,3072,8,50,150000.0,8,0.3613291431512379,0.31411585365853656,0.42225197758734345,8,2.6018412243951038e-08,0.0,5.782008550259858e-08,8,0.3423611111111111,0.18402777777777776,0.4833333333333333,8,0.0,0.0,0.0,0,,,,8,0.38694644827077834,0.3407961460446247,0.43908045977011495,8,0.0,0.0,0.0
500,vacuum,8x8x6,3072,8,60,216000.0,8,0.3613291431512379,0.31213235294117647,0.4202027027027027,8,0.0,0.0,0.0,8,0.36319444444444443,0.21041666666666667,0.50625,8,7.134680928342835e-08,0.0,2.1404042785028504e-07,0,,,,8,0.38694644827077834,0.3407961460446247,0.43981461005454814,8,0.0,0.0,0.0
500,vacuum,12x12x6,6912,8,2,240.0,8,0.006849769750651544,0.002717391304347826,0.010213062101477072,8,6.209431577171228e-08,2.6943794281163475e-08,9.565202904938333e-08,8,0.005952380952380952,0.0,0.017857142857142856,8,2.3633480605361755e-07,0.0,7.090044181608527e-07,1,21.21091895533109,21.21091895533109,21.21091895533109,8,0.006538619497669337,0.0017123287671232876,0.011364910228215386,8,7.14283151460204e-08,2.3244648930628675e-08,1.263355496025116e-07
