scenario,species,rate_basis,status,mean_mol_m2_s,ci95_low_mol_m2_s,ci95_high_mol_m2_s,poisson_zero_upper_95_mol_m2_s,log10_mean_mol_m2_s
al-o-al-analogue__prefactor-x10,si,net,estimated,-3.22847394619013e-10,-9.68542183857039e-10,0.0,undefined,undefined
al-o-al-analogue__prefactor-x10,si,expected_gross_from_propensity,estimated-positive,4.3634967499750125e-22,0.0,1.3090490249925037e-21,undefined,-21.360165343168887
al-o-al-analogue__prefactor-x10,al,gross,zero-upper-bound,0.0,0.0,0.0,9.87339425773183e-10,undefined
al-o-al-analogue__prefactor-x10,al,net,estimated,0.0,0.0,0.0,undefined,undefined
al-o-al-analogue__prefactor-x10,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
adsorption__ea-minus-3,si,gross,zero-upper-bound,0.0,0.0,0.0,1.1542387573981698e-11,undefined
adsorption__ea-minus-3,si,net,estimated,0.0,0.0,0.0,undefined,undefined
adsorption__ea-minus-3,si,expected_gross_from_propensity,estimated-positive,3.636806232872175e-15,3.4082500383445755e-15,3.814806003665392e-15,undefined,-14.43927983731101
adsorption__ea-minus-3,al,gross,zero-upper-bound,0.0,0.0,0.0,1.1542387573981698e-11,undefined
adsorption__ea-minus-3,al,net,estimated,0.0,0.0,0.0,undefined,undefined
adsorption__ea-minus-3,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
adsorption__ea-plus-3,si,gross,zero-upper-bound,0.0,0.0,0.0,9.895473375023558e-11,undefined
adsorption__ea-plus-3,si,net,estimated,0.0,0.0,0.0,undefined,undefined
adsorption__ea-plus-3,si,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
adsorption__ea-plus-3,al,gross,zero-upper-bound,0.0,0.0,0.0,9.895473375023558e-11,undefined
adsorption__ea-plus-3,al,net,estimated,0.0,0.0,0.0,undefined,undefined
adsorption__ea-plus-3,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
adsorption__prefactor-x0.1,si,gross,zero-upper-bound,0.0,0.0,0.0,9.873407543899793e-11,undefined
adsorption__prefactor-x0.1,si,net,estimated,-3.2284823540422416e-11,-9.685447062126725e-11,0.0,undefined,undefined
adsorption__prefactor-x0.1,si,expected_gross_from_propensity,estimated-positive,4.363489833425977e-22,0.0,1.309046950027793e-21,undefined,-21.360166031566663
