scenario,replica,seed,step,time_s,Si_total,Si_oh0,Si_oh1,Si_oh2,Si_oh3,Si_oh4,Al_total,Al_l0,Al_l1,Al_l2,Al_l3,Al_l4,Al_l5,Al_l6
siloxane-neutral__ea-minus-3,1,90403,90000,6465.795,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,1,90403,100000,7179.343,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,1,90403,110000,7893.425,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,1,90403,120000,8593.619,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,1,90403,130000,9304.409,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,1,90403,140000,10014.08,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,1,90403,150000,10733.55,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,1,90403,160000,11457.69,160,117,40,3,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,1,90403,170000,12170.81,160,118,40,2,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,1,90403,180000,12900.62,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,1,90403,190000,13628.68,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,1,90403,200000,14323.55,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,2,90407,0,0.0,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,2,90407,10000,717.0905,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,2,90407,20000,1427.315,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,2,90407,30000,2138.613,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,2,90407,40000,2851.756,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,2,90407,50000,3574.104,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,2,90407,60000,4281.184,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,2,90407,70000,4996.632,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,2,90407,80000,5716.213,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,2,90407,90000,6413.38,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,2,90407,100000,7136.031,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,2,90407,110000,7847.466,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,2,90407,120000,8545.935,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,2,90407,130000,9251.682,160,118,40,2,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,2,90407,140000,9958.187,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,2,90407,150000,10665.46,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,2,90407,160000,11392.17,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,2,90407,170000,12111.24,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,2,90407,180000,12823.74,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,2,90407,190000,13534.23,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,2,90407,200000,14260.65,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,3,90409,0,0.0,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,3,90409,10000,736.4513,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,3,90409,20000,1454.016,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,3,90409,30000,2173.126,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,3,90409,40000,2903.22,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,3,90409,50000,3625.04,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,3,90409,60000,4362.286,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,3,90409,70000,5074.545,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,3,90409,80000,5786.655,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,3,90409,90000,6508.938,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,3,90409,100000,7235.114,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,3,90409,110000,7959.218,160,118,40,2,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,3,90409,120000,8677.363,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,3,90409,130000,9413.256,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,3,90409,140000,10129.37,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,3,90409,150000,10850.4,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,3,90409,160000,11583.65,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,3,90409,170000,12301.38,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,3,90409,180000,13012.45,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,3,90409,190000,13729.71,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,3,90409,200000,14445.14,160,120,40,0,0,0,160,138,2,18,2,0,0,0
siloxane-neutral__ea-minus-3,4,90413,0,0.0,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,4,90413,10000,718.6248,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,4,90413,20000,1440.212,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,4,90413,30000,2163.261,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,4,90413,40000,2891.208,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,4,90413,50000,3618.462,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,4,90413,60000,4355.393,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,4,90413,70000,5080.812,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,4,90413,80000,5792.557,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,4,90413,90000,6524.097,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,4,90413,100000,7242.263,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,4,90413,110000,7955.579,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,4,90413,120000,8686.993,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,4,90413,130000,9385.946,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,4,90413,140000,10105.36,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,4,90413,150000,10827.0,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,4,90413,160000,11535.24,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,4,90413,170000,12254.21,160,119,38,3,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,4,90413,180000,12942.33,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,4,90413,190000,13669.35,160,120,40,0,0,0,160,140,0,20,0,0,0,0
siloxane-neutral__ea-minus-3,4,90413,200000,14387.98,160,119,40,1,0,0,160,139,1,19,1,0,0,0
siloxane-neutral__ea-minus-3,5,90419,0,0.0,160,120,40,0,0,0,160,140,0,20,0,0,0,0
