scenario,replica,seed,window_start_step,window_end_step,window_start_time_s,window_end_time_s,area_time_a2_s,lattice_si_release_events,gross_si_events,adsorb_si_events,net_si_events,lattice_al_release_events,gross_al_events,adsorb_al_events,net_al_events,lattice_si_release_flux_mol_m2_s,lattice_al_release_flux_mol_m2_s,expected_lattice_origin_si_flux_from_propensity_mol_m2_s,expected_lattice_origin_al_flux_from_propensity_mol_m2_s,lattice_si_upper_95_mol_m2_s,lattice_al_upper_95_mol_m2_s,si_al_lattice_release_ratio_dimensionless,propensity_origin_status,steady_state_status,acceptance_passed,log10_lattice_si_release_flux_mol_m2_s,log10_lattice_al_release_flux_mol_m2_s,log10_expected_lattice_origin_si_flux_from_propensity_mol_m2_s,log10_expected_lattice_origin_al_flux_from_propensity_mol_m2_s
siloxane-neutral__prefactor-x10,6,90421,40000,200000,2881.316329,14373.2168,8445949.497198518,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.889841605943725e-11,5.889841605943725e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x10,7,90427,40000,200000,2878.982578,14367.53434,8443488.370149411,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.891558390269808e-11,5.891558390269808e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-minus-3,0,90401,40000,200000,2858.041622,14176.64419,8318584.546518518,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.980020335445006e-11,5.980020335445006e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-minus-3,1,90403,40000,200000,2831.367161,11826.83081,6611198.197814526,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.524400760930704e-11,7.524400760930704e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-minus-3,2,90407,40000,200000,2855.681864,13849.62845,8079979.275366461,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.156612913842301e-11,6.156612913842301e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-minus-3,3,90409,40000,200000,2891.881672,13344.25348,7681949.964593421,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.475609054937676e-11,6.475609054937676e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-minus-3,4,90413,40000,200000,2757.092958,12393.19628,7082035.057019323,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.024153982546938e-11,7.024153982546938e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-minus-3,5,90419,40000,200000,2552.80973,12769.53349,7508760.898298955,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.624968543287707e-11,6.624968543287707e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-minus-3,6,90421,40000,200000,2618.156755,11861.80337,6793599.777273951,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.322377882298575e-11,7.322377882298575e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-minus-3,7,90427,40000,200000,2816.870051,11685.34697,6517869.552034751,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.632141814616374e-11,7.632141814616374e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-plus-3,0,90401,40000,200000,2858.236589,14346.99848,8443642.804041903,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.891450633900173e-11,5.891450633900173e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-plus-3,1,90403,40000,200000,2863.554309,14354.84002,8445497.68055374,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.890156700278401e-11,5.890156700278401e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-plus-3,2,90407,40000,200000,2855.876695,14320.72993,8426071.184653845,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.903736588518143e-11,5.903736588518143e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-plus-3,3,90409,40000,200000,2892.079014,14454.38883,8497696.705895765,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.853975079598411e-11,5.853975079598411e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-plus-3,4,90413,40000,200000,2876.366069,14316.31091,8407764.809802167,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.916590898487539e-11,5.916590898487539e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-plus-3,5,90419,40000,200000,2864.944538,14371.45101,8456684.148713587,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.882365224420314e-11,5.882365224420314e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-plus-3,6,90421,40000,200000,2881.33987,14373.33424,8446018.508082649,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.889793481117071e-11,5.889793481117071e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__ea-plus-3,7,90427,40000,200000,2880.453733,14369.57745,8443908.727344193,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.89126509494441e-11,5.89126509494441e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
